step,episode,episode_reward,env,seed,agent
1696000,1696,878.8122686595723,cartpole_swingup,8,DrQ
1712000,1712,876.3461844494582,cartpole_swingup,8,DrQ
1728000,1728,881.1826961234367,cartpole_swingup,8,DrQ
1744000,1744,881.0957620636043,cartpole_swingup,8,DrQ
1760000,1760,878.9314939403661,cartpole_swingup,8,DrQ
1776000,1776,880.8387169143608,cartpole_swingup,8,DrQ
1792000,1792,879.4544178452855,cartpole_swingup,8,DrQ
1808000,1808,880.9334971576027,cartpole_swingup,8,DrQ
1824000,1824,879.9454504768357,cartpole_swingup,8,DrQ
1840000,1840,879.1610387405484,cartpole_swingup,8,DrQ
1856000,1856,879.3329455186298,cartpole_swingup,8,DrQ
1872000,1872,878.9822339189739,cartpole_swingup,8,DrQ
1888000,1888,880.915866968978,cartpole_swingup,8,DrQ
1904000,1904,880.7389597178899,cartpole_swingup,8,DrQ
1920000,1920,879.059283042594,cartpole_swingup,8,DrQ
1936000,1936,881.3569696896291,cartpole_swingup,8,DrQ
1952000,1952,878.8071597690189,cartpole_swingup,8,DrQ
1968000,1968,880.6270435678553,cartpole_swingup,8,DrQ
1984000,1984,881.2833601247577,cartpole_swingup,8,DrQ
2000000,2000,880.9698046736539,cartpole_swingup,8,DrQ
2016000,2016,880.5954337853128,cartpole_swingup,8,DrQ
2032000,2032,881.0613693351927,cartpole_swingup,8,DrQ
2048000,2048,881.2825298973521,cartpole_swingup,8,DrQ
2064000,2064,881.4847548127594,cartpole_swingup,8,DrQ
2080000,2080,881.5152761981592,cartpole_swingup,8,DrQ
2096000,2096,874.3327648845783,cartpole_swingup,8,DrQ
2112000,2112,881.8994325409376,cartpole_swingup,8,DrQ
2128000,2128,880.4783026601076,cartpole_swingup,8,DrQ
2144000,2144,880.2441443898421,cartpole_swingup,8,DrQ
2160000,2160,881.0658693507629,cartpole_swingup,8,DrQ
2176000,2176,881.2416860846492,cartpole_swingup,8,DrQ
2192000,2192,881.1296697920503,cartpole_swingup,8,DrQ
2208000,2208,881.5474215762007,cartpole_swingup,8,DrQ
2224000,2224,881.0614964985701,cartpole_swingup,8,DrQ
2240000,2240,881.2957929307062,cartpole_swingup,8,DrQ
2256000,2256,881.3327239830558,cartpole_swingup,8,DrQ
2272000,2272,881.4316345034691,cartpole_swingup,8,DrQ
2288000,2288,881.6502387075633,cartpole_swingup,8,DrQ
2304000,2304,881.5393814229686,cartpole_swingup,8,DrQ
2320000,2320,881.605764088852,cartpole_swingup,8,DrQ
2336000,2336,880.747034388945,cartpole_swingup,8,DrQ
2352000,2352,881.8550849330278,cartpole_swingup,8,DrQ
2368000,2368,881.4227503546997,cartpole_swingup,8,DrQ
2384000,2384,881.4460752197922,cartpole_swingup,8,DrQ
2400000,2400,881.5181097315988,cartpole_swingup,8,DrQ
2416000,2416,881.6424205681793,cartpole_swingup,8,DrQ
2432000,2432,880.8688567698009,cartpole_swingup,8,DrQ
2448000,2448,881.7419044578537,cartpole_swingup,8,DrQ
2464000,2464,881.6622734205382,cartpole_swingup,8,DrQ
2480000,2480,882.0554558958463,cartpole_swingup,8,DrQ
2496000,2496,881.8118421111445,cartpole_swingup,8,DrQ
2512000,2512,881.9176449165193,cartpole_swingup,8,DrQ
2528000,2528,881.3199695906775,cartpole_swingup,8,DrQ
2544000,2544,881.5701548187856,cartpole_swingup,8,DrQ
2560000,2560,882.0770883906172,cartpole_swingup,8,DrQ
2576000,2576,881.7551137107059,cartpole_swingup,8,DrQ
2592000,2592,878.7028635763368,cartpole_swingup,8,DrQ
2608000,2608,881.3759132258896,cartpole_swingup,8,DrQ
2624000,2624,873.9063885176663,cartpole_swingup,8,DrQ
2640000,2640,876.1255779096208,cartpole_swingup,8,DrQ
2656000,2656,876.9265290287442,cartpole_swingup,8,DrQ
2672000,2672,877.4330562073981,cartpole_swingup,8,DrQ
2688000,2688,876.6043421577217,cartpole_swingup,8,DrQ
2704000,2704,878.190694523992,cartpole_swingup,8,DrQ
2720000,2720,865.7347560599704,cartpole_swingup,8,DrQ
2736000,2736,795.4913606252803,cartpole_swingup,8,DrQ
2752000,2752,823.8697155087451,cartpole_swingup,8,DrQ
2768000,2768,857.4150610987572,cartpole_swingup,8,DrQ
2784000,2784,860.5975432823828,cartpole_swingup,8,DrQ
2800000,2800,855.2341496489496,cartpole_swingup,8,DrQ
2816000,2816,845.1120552303113,cartpole_swingup,8,DrQ
2832000,2832,869.8094226165953,cartpole_swingup,8,DrQ
2848000,2848,863.1136337758719,cartpole_swingup,8,DrQ
2864000,2864,875.9711163963698,cartpole_swingup,8,DrQ
2880000,2880,869.4965785361542,cartpole_swingup,8,DrQ
2896000,2896,879.1367075464098,cartpole_swingup,8,DrQ
2912000,2912,877.8553661854643,cartpole_swingup,8,DrQ
2928000,2928,876.055491599636,cartpole_swingup,8,DrQ
2944000,2944,877.6297264780158,cartpole_swingup,8,DrQ
2960000,2960,877.7553498878212,cartpole_swingup,8,DrQ
2976000,2976,877.443098062258,cartpole_swingup,8,DrQ
2992000,2992,879.0235612326358,cartpole_swingup,8,DrQ
3008000,3008,878.4173285530502,cartpole_swingup,8,DrQ
3024000,3024,879.5483982373668,cartpole_swingup,8,DrQ
3040000,3040,880.8451892177608,cartpole_swingup,8,DrQ
3056000,3056,880.075600326975,cartpole_swingup,8,DrQ
3072000,3072,879.9470206589324,cartpole_swingup,8,DrQ
3088000,3088,880.755279691404,cartpole_swingup,8,DrQ
3104000,3104,880.6185280064868,cartpole_swingup,8,DrQ
3120000,3120,880.0919937798748,cartpole_swingup,8,DrQ
3136000,3136,879.9207465424668,cartpole_swingup,8,DrQ
3152000,3152,879.3058729128583,cartpole_swingup,8,DrQ
3168000,3168,880.0377184285678,cartpole_swingup,8,DrQ
3184000,3184,880.1909707826567,cartpole_swingup,8,DrQ
3200000,3200,879.6163971651625,cartpole_swingup,8,DrQ
3216000,3216,878.4344295514023,cartpole_swingup,8,DrQ
3232000,3232,880.3436679823759,cartpole_swingup,8,DrQ
3248000,3248,877.5269544934639,cartpole_swingup,8,DrQ
3264000,3264,879.1783305159494,cartpole_swingup,8,DrQ
3280000,3280,880.2373756327681,cartpole_swingup,8,DrQ
3296000,3296,880.4988699301953,cartpole_swingup,8,DrQ
3312000,3312,879.0982045951857,cartpole_swingup,8,DrQ
3328000,3328,880.3699856725925,cartpole_swingup,8,DrQ
3344000,3344,875.7603894453133,cartpole_swingup,8,DrQ
3360000,3360,880.2389042490495,cartpole_swingup,8,DrQ
3376000,3376,879.1986780694783,cartpole_swingup,8,DrQ
3392000,3392,879.130379459619,cartpole_swingup,8,DrQ
3408000,3408,880.3596102860956,cartpole_swingup,8,DrQ
3424000,3424,879.4752400810355,cartpole_swingup,8,DrQ
3440000,3440,880.5903168941161,cartpole_swingup,8,DrQ
3456000,3456,880.2442168440439,cartpole_swingup,8,DrQ
3472000,3472,881.0512895562039,cartpole_swingup,8,DrQ
3488000,3488,880.8056083796604,cartpole_swingup,8,DrQ
3504000,3504,879.1478374271986,cartpole_swingup,8,DrQ
3520000,3520,881.7818839167238,cartpole_swingup,8,DrQ
3536000,3536,880.1315343009306,cartpole_swingup,8,DrQ
3552000,3552,880.4189138906427,cartpole_swingup,8,DrQ
3568000,3568,880.5191323452068,cartpole_swingup,8,DrQ
3584000,3584,881.2245555377672,cartpole_swingup,8,DrQ
3600000,3600,880.0020465606706,cartpole_swingup,8,DrQ
3616000,3616,879.9319948657756,cartpole_swingup,8,DrQ
3632000,3632,879.4870111267923,cartpole_swingup,8,DrQ
3648000,3648,879.2892634262703,cartpole_swingup,8,DrQ
3664000,3664,880.8515008109033,cartpole_swingup,8,DrQ
3680000,3680,879.6491387283064,cartpole_swingup,8,DrQ
3696000,3696,880.2313062537481,cartpole_swingup,8,DrQ
3712000,3712,881.3050819915201,cartpole_swingup,8,DrQ
3728000,3728,881.0353655453662,cartpole_swingup,8,DrQ
3744000,3744,878.095838636671,cartpole_swingup,8,DrQ
3760000,3760,880.5871925178743,cartpole_swingup,8,DrQ
3776000,3776,878.8947844816336,cartpole_swingup,8,DrQ
3792000,3792,880.2692734821602,cartpole_swingup,8,DrQ
3808000,3808,870.0569070630768,cartpole_swingup,8,DrQ
3824000,3824,871.7727536947093,cartpole_swingup,8,DrQ
3840000,3840,875.6490499335948,cartpole_swingup,8,DrQ
3856000,3856,879.2232373268953,cartpole_swingup,8,DrQ
3872000,3872,880.7324877731903,cartpole_swingup,8,DrQ
3888000,3888,879.8837674535793,cartpole_swingup,8,DrQ
3904000,3904,881.2363089767225,cartpole_swingup,8,DrQ
3920000,3920,881.2771575020781,cartpole_swingup,8,DrQ
3936000,3936,879.9378914320406,cartpole_swingup,8,DrQ
3952000,3952,881.1628598063423,cartpole_swingup,8,DrQ
3968000,3968,879.912812897593,cartpole_swingup,8,DrQ
3984000,3984,881.7624177656726,cartpole_swingup,8,DrQ
4000000,4000,865.9246068836494,cartpole_swingup,8,DrQ
4016000,4016,878.373490267701,cartpole_swingup,8,DrQ
4032000,4032,879.6411435849129,cartpole_swingup,8,DrQ
4048000,4048,876.3500747279193,cartpole_swingup,8,DrQ
4064000,4064,881.3156109847266,cartpole_swingup,8,DrQ
4080000,4080,879.2412798712528,cartpole_swingup,8,DrQ
4096000,4096,878.1319565883417,cartpole_swingup,8,DrQ
4112000,4112,869.1940526977821,cartpole_swingup,8,DrQ
4128000,4128,877.9262899674808,cartpole_swingup,8,DrQ
4144000,4144,879.2639096713617,cartpole_swingup,8,DrQ
4160000,4160,881.4576067531227,cartpole_swingup,8,DrQ
4176000,4176,879.5153456201331,cartpole_swingup,8,DrQ
4192000,4192,870.5327966821867,cartpole_swingup,8,DrQ
4208000,4208,875.6967342810825,cartpole_swingup,8,DrQ
4224000,4224,878.8807808791347,cartpole_swingup,8,DrQ
4240000,4240,879.5593137517012,cartpole_swingup,8,DrQ
4256000,4256,881.1667263573904,cartpole_swingup,8,DrQ
4272000,4272,880.977085669759,cartpole_swingup,8,DrQ
